button html,site,name,desc,category,flyer,locations
,,,,,,
"<iframe width=""88"" height=""31"" src=""https://mayf.pink/badge"" style=""border: none""></iframe>",https://mayf.pink,Azalea,has a cool website,inspiration,,hub neighbors
"<a href=""https://tuxedodragon.art"" target=""_blank"" rel=""noopener"" title=""Tux makes a cool webcomic!""><img style=""width: 88px; height: 31px"" src=""/assets/buttons/people/tuxedodragon.art.gif"" alt=""TuxedoDragon Button"" /></a>",https://tuxedodragon.art,Tux,makes cool art and a cute comic.,art,,hub neighbors
"<a href=""https://vertpush.neocities.org/"" target=""_blank"" rel=""noopener"" title=""Holy shit this site is so cool""><img style=""width: 88px; height: 31px"" src=""https://vertpush.neocities.org/buttons/vertpushbutton.gif"" alt=""Vertpush button"" /></a>",https://vertpush.neocities.org,Vertpush,Very Cool website & art,inspiration,,hub neighbors
"<a href=""https://tilde-os.neocities.org/"" target=""_blank"" rel=""noopener"" title=""Great Dragon Friend""><img src=""https://tilde-os.neocities.org/tilde_os_button.gif"" alt=""Tilde-OS Button"" /></a>",https://tilde-os.neocities.org,Tilde-OS,"coding-friend, part reason why this website exists!",friend,,hub neighbors
"<a href=""https://neververy4.com"" target=""_blank"" rel=""noopener"" title=""Cool Dragon (check out his forum)""><img style=""width: 88px; height: 31px"" src=""/assets/buttons/people/neververy4.com.png"" alt=""Never's button"" /></a>",https://neververy4.com,Never Jhonsen,"Big blue Dragon friend, check out his dragon forum",friend,,hub neighbors
"<a href=""https://grapeagata.neocities.org"" target=""_blank"" rel=""noopener"" title=""Agata (Cool Rocks Friend)""><img src=""/assets/buttons/people/grapeagata.neocities.org.gif"" alt=""Grapeagata Button"" /></a>",https://grapeagata.neocities.org,Grapeagata,"Friend with a cool rock collection, check it out!",friend,,hub neighbors
"<a href=""https://icosahedr.online/"" target=""_blank"" rel=""noopener"" title=""Puppydog friend :3""><img style=""width: 88px; height: 31px"" src=""https://misc.icosahedr.online/trinket/sapbutton.gif"" alt=""Sapero's Button"" /></a>",https://icosahedr.online,Jules,"Puppy friend, part of why this website exists!",friend,,hub neighbors
"<a href=""https://ytd.wtf"" target=""_blank"" rel=""noopener"" title=""Cool Dragon Friend (with a cool name)""><img src=""https://ytd.wtf/yurithedragon_88x31.gif"" style=""image-rendering: pixelated"" alt=""Yuri's button"" /></a>",https://ytd.wtf,YURI,"Rad Dragon Friend, check out their Toybox!",friend,/assets/web_button-flyers/yuri_enterprise_flyer.webp,hub neighbors
"<a href=""https://azteria.neocities.org"" target=""_blank"" rel=""noopener"" title=""Friend Azteria""><img src=""https://azteria.neocities.org/88x31.gif"" style=""image-rendering: pixelated"" alt=""Atzteria's button"" /></a>",https://atzteria.neocities.org,Azteria,"Girlfriend of Yuri, very cool foxxo",friend,,hub neighbors
"<a href=""https://floraltrash.neocities.org"" target=""_blank"" rel=""noopener""><img src=""/assets/buttons/people/floraltrash.neocities.org.gif"" alt=""floraltrash button"" /></a>",https://floraltrash.neocities.org,Razz,"Cool art, does VR assets",art,,hub neighbors
"<a href=""https://miaow.ing"" target=""_blank"" rel=""noopener""><img src=""/assets/buttons/people/miaow.ing.png"" alt="""" /></a>",https://miaow.ing,Maeve,cool site,inspiration,,hub neighbors
"<a href=""https://oat.zone"" target=""_blank"" rel=""noopener""><img src=""/assets/buttons/people/oat.zone(2).png"" alt="""" /></a>",https://oat.zone,Jade,rad site concept & execution,inspiration,,hub neighbors
"<a href=""https://beeps.website"" target=""_blank"" rel=""noopener""><img src=""/assets/buttons/people/beeps.website.gif"" alt=""beeps"" /></a>",https://beeps.website/,Beeps,Website about (Web)-Development & Identity stuff,inspiration,,hub neighbors
